"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2020-10-25,12998.9972188594,-18.1877587328755,-18.1877587328755,-18.1877587328755,-18.1877587328755,-18.1877587328755,-18.1877587328755,0,0,0,10362.4264327761,15831.3953223912,12998.9972188594,12998.9972188594,12980.8094601265
2020-10-26,13095.3425915658,-172.070185697395,-172.070185697395,-172.070185697395,-172.070185697395,-172.070185697395,-172.070185697395,0,0,0,10149.3981146557,15828.3661101978,13095.3425915658,13095.3425915658,12923.2724058684
2020-10-27,13191.6879642722,-139.628534339415,-139.628534339415,-139.628534339415,-139.628534339415,-139.628534339415,-139.628534339415,0,0,0,10179.5252375109,15928.1207293183,13191.6879642722,13191.6879642722,13052.0594299328
2020-10-28,13288.0333369787,54.7593350700076,54.7593350700076,54.7593350700076,54.7593350700076,54.7593350700076,54.7593350700076,0,0,0,10190.1118451085,16262.2596891388,13288.0333369787,13288.0333369787,13342.7926720487
2020-10-29,13384.3787096851,93.1047034026975,93.1047034026975,93.1047034026975,93.1047034026975,93.1047034026975,93.1047034026975,0,0,0,10545.8731170634,16336.87399602,13384.3787096851,13384.3787096851,13477.4834130878
2020-10-30,13480.7240823915,36.9731940372354,36.9731940372354,36.9731940372354,36.9731940372354,36.9731940372354,36.9731940372354,0,0,0,10595.0645438913,16490.6295765959,13480.7240823915,13480.7240823915,13517.6972764287
2020-10-31,13637.1620745912,145.04924625991,145.04924625991,145.04924625991,145.04924625991,145.04924625991,145.04924625991,0,0,0,11106.4132459746,16703.7852313256,13637.1620745912,13637.1620745912,13782.2113208511
2020-11-01,13793.6000667909,-18.1877587330937,-18.1877587330937,-18.1877587330937,-18.1877587330937,-18.1877587330937,-18.1877587330937,0,0,0,10862.0752099819,16488.2895405263,13793.6000667909,13793.6000667909,13775.4123080578
2020-11-02,13950.0380589906,-172.070185696934,-172.070185696934,-172.070185696934,-172.070185696934,-172.070185696934,-172.070185696934,0,0,0,10609.8772165198,16679.1302587809,13950.0380589906,13950.0380589906,13777.9678732936
2020-11-03,14106.4760511902,-139.628534339228,-139.628534339228,-139.628534339228,-139.628534339228,-139.628534339228,-139.628534339228,0,0,0,10935.2192448004,16985.9496651584,14106.4760511902,14106.4760511902,13966.847516851
2020-11-04,14262.9140433899,54.7593350702523,54.7593350702523,54.7593350702523,54.7593350702523,54.7593350702523,54.7593350702523,0,0,0,11380.2992956671,16947.6453621626,14262.9140433899,14262.9140433899,14317.6733784602
2020-11-05,14419.3520355896,93.1047034025324,93.1047034025324,93.1047034025324,93.1047034025324,93.1047034025324,93.1047034025324,0,0,0,11741.451228934,17325.4035343167,14419.3520355896,14419.3520355896,14512.4567389922
2020-11-06,14575.7900277893,36.9731940371453,36.9731940371453,36.9731940371453,36.9731940371453,36.9731940371453,36.9731940371453,0,0,0,11813.3617192076,17685.2657996017,14575.7900277893,14575.7900277893,14612.7632218265
2020-11-07,14732.228019989,145.049246259866,145.049246259866,145.049246259866,145.049246259866,145.049246259866,145.049246259866,0,0,0,11909.0390853855,18045.2484339142,14732.228019989,14732.228019989,14877.2772662489
2020-11-08,14888.6660121887,-18.1877587331584,-18.1877587331584,-18.1877587331584,-18.1877587331584,-18.1877587331584,-18.1877587331584,0,0,0,12054.9598977864,17809.5136532592,14888.6660121887,14888.6660121887,14870.4782534555
2020-11-09,15045.1040043884,-172.070185697045,-172.070185697045,-172.070185697045,-172.070185697045,-172.070185697045,-172.070185697045,0,0,0,11970.3964861185,17518.9797569622,15045.1040043884,15045.1040043884,14873.0338186913
2020-11-10,15201.541996588,-139.628534339825,-139.628534339825,-139.628534339825,-139.628534339825,-139.628534339825,-139.628534339825,0,0,0,12284.1062915716,17870.418196946,15201.541996588,15201.541996588,15061.9134622482
2020-11-11,15357.9799887877,54.7593350702959,54.7593350702959,54.7593350702959,54.7593350702959,54.7593350702959,54.7593350702959,0,0,0,12632.6152572015,18201.5819634901,15357.9799887877,15357.9799887877,15412.739323858
2020-11-12,15514.4179809874,93.104703402701,93.104703402701,93.104703402701,93.104703402701,93.104703402701,93.104703402701,0,0,0,12663.6169072118,18622.7032750397,15514.4179809874,15514.4179809874,15607.5226843901
2020-11-13,15670.8559731871,36.973194037077,36.973194037077,36.973194037077,36.973194037077,36.973194037077,36.973194037077,0,0,0,12888.7277687549,18637.1098881591,15670.8559731871,15670.8559731871,15707.8291672242
2020-11-14,15827.2939653868,145.049246259889,145.049246259889,145.049246259889,145.049246259889,145.049246259889,145.049246259889,0,0,0,12875.9629878309,18599.0173623629,15827.2939653868,15827.2939653868,15972.3432116467
2020-11-15,16044.6634589523,-18.1877587333765,-18.1877587333765,-18.1877587333765,-18.1877587333765,-18.1877587333765,-18.1877587333765,0,0,0,13146.609942212,18771.7658941396,16044.6634589523,16044.6634589523,16026.4757002189
2020-11-16,16262.0329525178,-172.070185697005,-172.070185697005,-172.070185697005,-172.070185697005,-172.070185697005,-172.070185697005,0,0,0,12971.1969635481,19024.0842139631,16262.0329525178,16262.0329525178,16089.9627668208
2020-11-17,16479.4024460833,-139.628534339638,-139.628534339638,-139.628534339638,-139.628534339638,-139.628534339638,-139.628534339638,0,0,0,13260.2184462477,19216.8067969869,16479.4024460833,16479.4024460833,16339.7739117437
2020-11-18,16696.7719396488,54.7593350700481,54.7593350700481,54.7593350700481,54.7593350700481,54.7593350700481,54.7593350700481,0,0,0,13970.8831693103,19774.9424991301,16696.7719396488,16696.7719396488,16751.5312747188
